label,is_multi,explain,question,example 
first category,FALSE,category,,
NECKLINE,FALSE,,,
COLLAR,FALSE,,,
SLEEVE LENGTH,FALSE,,,
SLEEVE SHAPE,FALSE,,,
SHOULDER,FALSE,,,
WAIST,FALSE,,,
FIT,FALSE,,,
LENGTH,FALSE,,,
Cut,TRUE,,,
RISE,TRUE,,,
Design,TRUE,,,
COLOR,TRUE,,,
Saturation,TRUE,,,
Brightness,TRUE,,,
LINE,TRUE,,,
MATERIAL,TRUE,,,
PATTERN,TRUE,patern,patern ,
TRENDS,TRUE,popular elements,,
PROCESS,TRUE,craftsmanship,What craftsmanship was used for this merchandise?,
OCCASION,TRUE,suitable occasions,,What is  the suitable occasions of this merchandise?
STYLE,TRUE,what style is this merchandise,,
Type,TRUE,,,
FASTENER,TRUE,,,
COVER,TRUE,,,
top category,"FALSE
",category,,
