type,label,label option,alias,Visual effects and style,occasion tag,user label tag ,target tag,reference url,,,,,,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT, PANTS, DENIM, SHORTS, SKIRT, JUMPSUIT",BACK,Regular,,,,,,,,,,,,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT, PANTS, DENIM, SHORTS, SKIRT, JUMPSUIT",BACK,Open,Backless,,,,,,,,,,,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT, PANTS, DENIM, SHORTS, SKIRT, JUMPSUIT",BACK,Racerback,,,,,,,,,,,,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT, PANTS, DENIM, SHORTS, SKIRT, JUMPSUIT",BACK,T-back,,,,,,,,,,,,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT, PANTS, DENIM, SHORTS, SKIRT, JUMPSUIT",BACK,Strappy back,,,,,,,,,,,,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT, PANTS, DENIM, SHORTS, SKIRT, JUMPSUIT",BACK,Cut-out back,,,,,,,,,,,,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT, PANTS, DENIM, SHORTS, SKIRT, JUMPSUIT",BACK,Low back,,,,,,,,,,,,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT, PANTS, DENIM, SHORTS, SKIRT, JUMPSUIT",BACK,Button-up back,,,,,,,,,,,,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT, PANTS, DENIM, SHORTS, SKIRT, JUMPSUIT",BACK,Lace back,,,,,,,,,,,,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT, PANTS, DENIM, SHORTS, SKIRT, JUMPSUIT",BACK,Zip-up back,,,,,,,,,,,,,,,,,
