type,label,label option,,,,,,
ALL,Fit,Tailored/Slim,,,,,,
ALL,Fit,Skinny,,,,,,
ALL,Fit,Boxy,,,,,,
ALL,Fit,Oversized,,,,,,
ALL,Fit,Relaxed,,,,,,
ALL,Fit,Regular,,,,,,
ALL,COLOR,Orange,,,,,,
ALL,COLOR,Yellow,,,,,,
ALL,COLOR,Black,,,,,,
ALL,COLOR,White,,,,,,
ALL,COLOR,Green,,,,,,
ALL,COLOR,Blue,,,,,,
ALL,COLOR,Purple,,,,,,
ALL,COLOR,Brown,,,,,,
ALL,COLOR,Grey,,,,,,
ALL,COLOR,Red,,,,,,
ALL,COLOR,Pink,,,,,,
ALL,COLOR,Pastel,,,,,,
ALL,COLOR,Bold,,,,,,
ALL,COLOR,Neutral,,,,,,
"T-shirt,Blouse,Tunic,Bodysuit,Corset,Tank Top,Vest,Camisole,Tube,Sweater,Sweatshirt",Length,Regular,,,,,,
"T-shirt,Blouse,Tunic,Bodysuit,Corset,Tank Top,Vest,Camisole,Tube,Sweater,Sweatshirt",Length,Cropped,,,,,,
"T-shirt,Blouse,Tunic,Bodysuit,Corset,Tank Top,Vest,Camisole,Tube,Sweater,Sweatshirt",Length,Waist Length,,,,,,
"T-shirt,Blouse,Tunic,Bodysuit,Corset,Tank Top,Vest,Camisole,Tube,Sweater,Sweatshirt",Length,Hip Length,,,,,,
"T-shirt,Blouse,Tunic,Bodysuit,Corset,Tank Top,Vest,Camisole,Tube,Sweater,Sweatshirt",Length,Tunic Length,,,,,,
"T-shirt,Blouse,Tunic,Bodysuit,Sweater,Sweatshirt",Neckline,Crew Neck,,,,,,
"T-shirt,Blouse,Tunic,Bodysuit,Sweater,Sweatshirt",Neckline,V-Neck,,,,,,
"T-shirt,Blouse,Tunic,Bodysuit,Sweater,Sweatshirt",Neckline,Scoop Neck,,,,,,
"T-shirt,Blouse,Tunic,Bodysuit,Sweater,Sweatshirt",Neckline,Boat Neck,,,,,,
"T-shirt,Blouse,Tunic,Bodysuit,Sweater,Sweatshirt",Neckline,Square Neck,,,,,,
"T-shirt,Blouse,Tunic,Bodysuit,Sweater,Sweatshirt",Neckline,Sweetheart Neck,,,,,,
"T-shirt,Blouse,Tunic,Bodysuit,Sweater,Sweatshirt",Neckline,Halter Neck,,,,,,
"T-shirt,Blouse,Tunic,Bodysuit,Sweate",Neckline,Cowl Neck,,,,,,
"T-shirt,Blouse,Tunic,Bodysuit,Sweate",Neckline,Turtleneck,,,,,,
"T-shirt,Blouse,Tunic,Bodysuit,Sweate",Neckline,Asymmetrical Neck,,,,,,
"T-shirt,Blouse,Tunic,Bodysuit,Sweate",Neckline,Collar,,,,,,
"T-shirt,Blouse,Tunic,Bodysuit,Sweate",Neckline,Keyhole Neck,,,,,,
"T-shirt,Blouse,Tunic,Bodysuit,Sweate",Neckline,Illusion Neckline,,,,,,
"T-shirt,Blouse,Tunic,Bodysuit,Sweate",Neckline,Portrait Neckline,,,,,,
"T-shirt,Blouse,Tunic,Bodysuit,Sweate",Neckline,Strapless,,,,,,
"T-shirt,Blouse,Tunic,Bodysuit,Sweate",Neckline,Henley,,,,,,
